model,strategy,n,seed,rmse_min,precision_min,recall_min,f1_min,n_true_viol_min,coverage90_min,coverage50_min,coverage80_min,coverage95_min,rmse_night,recall_night,coverage90_night,map_kb,map_kw,map_gamma,map_demand,map_rough,map_dose
simgp_timeblind,random,5,1,0.29149542020952945,0.996415770609319,0.6420323325635104,0.7808988764044944,433,0.6540880503144654,,,,0.3107232763850691,0.8211920529801324,0.7631027253668763,,,,,,
mean_of_samples,random,5,1,0.40883287718378447,1.0,0.0,0.0,433,0.0,,,,0.47875306037244386,0.0,0.0,,,,,,
simgp24,random,6,1,0.04856787690197369,0.9125799573560768,0.9884526558891455,0.9490022172949002,433,0.9433368310598111,0.7471143756558237,0.9118572927597062,0.9538300104931794,0.13784398688620156,0.8576158940397351,0.9632738719832109,0.55,0.3,1.0,1.0,0.9,1.05
simgp24_g75,random,6,1,0.05476398121034788,0.964735516372796,0.8845265588914549,0.9228915662650602,433,0.8719832109129066,0.6033578174186779,0.8331584470094439,0.8971668415529905,,,,,,,,,
simgp_timeblind,random,6,1,0.29581212633199777,1.0,0.5635103926096998,0.7208271787296898,433,0.5907660020986358,,,,0.3025534916245446,0.7516556291390728,0.7397691500524659,,,,,,
mean_of_samples,random,6,1,0.43232480181020916,1.0,0.0,0.0,433,0.0,,,,0.48683066025836025,0.0,0.0,,,,,,
simgp24,random,7,1,0.049298670959539596,0.9465648854961832,0.8611111111111112,0.9018181818181819,432,0.9432773109243697,0.7090336134453782,0.9033613445378151,0.9527310924369747,0.1313529081106683,0.7807308970099668,0.9621848739495799,0.55,0.1,0.0,1.0,0.9,0.95
simgp24_g75,random,7,1,0.08784130582461218,0.9696048632218845,0.7384259259259259,0.8383705650459922,432,0.8235294117647058,0.22794117647058823,0.6186974789915967,0.8876050420168067,,,,,,,,,
simgp_timeblind,random,7,1,0.2870798746104684,1.0,0.5625,0.72,432,0.5619747899159664,,,,0.3003147858763191,0.7541528239202658,0.7289915966386554,,,,,,
mean_of_samples,random,7,1,0.3834530019856261,1.0,0.0,0.0,432,0.0,,,,0.4726440929785125,0.0,0.0,,,,,,
